HS,50202201,BEER,NA,AIMABLE
HS,50201708,COFFEE DRINKS,NA,AIMABLE
HS,50202306,SOFT DRINKS,NA,AIMABLE
HS,5020230600,SOFT DRINKS,NA,AIMABLE
HS,15101702,#4 OR #6 RESIDUAL HEAVY FUEL OILS,NA,AIMABLE
HS,1510170200,#4 OR #6 RESIDUAL HEAVY FUEL OILS,NA,AIMABLE
HS,48111104,A LA CARTE FOODS VENDING MACHINES,NA,AIMABLE
HS,4811110400,A LA CARTE FOODS VENDING MACHINES,NA,AIMABLE
HS,51342506,ABACAVIR SULFATE,NA,AIMABLE
HS,5134250600,ABACAVIR SULFATE,NA,AIMABLE
HS,51343801,ABACAVIR/LAMIVUDINE,NA,AIMABLE
HS,5134380100,ABACAVIR/LAMIVUDINE,NA,AIMABLE
HS,60102401,ABACUS OR COUNTING FRAMES,NA,AIMABLE
HS,6010240100,ABACUS OR COUNTING FRAMES,NA,AIMABLE
HS,42312502,ABDOMINAL BINDERS,NA,AIMABLE
HS,4231250200,ABDOMINAL BINDERS,NA,AIMABLE
HS,42143108,ABDOMINAL DECOMPRESSION CHAMBER,NA,AIMABLE
HS,4214310800,ABDOMINAL DECOMPRESSION CHAMBER,NA,AIMABLE
HS,42293119,ABDOMINAL RETRACTORS,NA,AIMABLE
HS,4229311900,ABDOMINAL RETRACTORS,NA,AIMABLE
HS,31371205,ABRASION RESISTANT CASTABLE,NA,AIMABLE
HS,3137120500,ABRASION RESISTANT CASTABLE,NA,AIMABLE
HS,41114601,ABRASION TESTERS,NA,AIMABLE
HS,4111460100,ABRASION TESTERS,NA,AIMABLE
HS,31191507,ABRASIVE BELTS,NA,AIMABLE
HS,3119150700,ABRASIVE BELTS,NA,AIMABLE
HS,31191516,ABRASIVE CARTRIDGE ROLLS,NA,AIMABLE
HS,3119151600,ABRASIVE CARTRIDGE ROLLS,NA,AIMABLE
HS,31191504,ABRASIVE CLOTH,NA,AIMABLE
HS,3119150400,ABRASIVE CLOTH,NA,AIMABLE
HS,23131501,ABRASIVE COMPOUNDS,NA,AIMABLE
HS,2313150100,ABRASIVE COMPOUNDS,NA,AIMABLE
HS,31191506,ABRASIVE DISCS,NA,AIMABLE
HS,3119150600,ABRASIVE DISCS,NA,AIMABLE
HS,31191505,ABRASIVE PADS,NA,AIMABLE
HS,3119150500,ABRASIVE PADS,NA,AIMABLE
HS,31191501,ABRASIVE PAPERS,NA,AIMABLE
HS,3119150100,ABRASIVE PAPERS,NA,AIMABLE
HS,31191509,ABRASIVE POLISHERS,NA,AIMABLE
HS,3119150900,ABRASIVE POLISHERS,NA,AIMABLE
HS,31191510,ABRASIVE STONES,NA,AIMABLE
HS,3119151000,ABRASIVE STONES,NA,AIMABLE
HS,31191600,ABRASIVE WHEELS,NA,AIMABLE
HS,31191500,ABRASIVES AND ABRASIVE MEDIA,NA,AIMABLE
HS,47131901,ABSORBENT MATS,NA,AIMABLE
HS,4713190100,ABSORBENT MATS,NA,AIMABLE
HS,47131908,ABSORBENT PILLOWS,NA,AIMABLE
HS,4713190800,ABSORBENT PILLOWS,NA,AIMABLE
HS,47131904,ABSORBENT SOCKS,NA,AIMABLE
HS,4713190400,ABSORBENT SOCKS,NA,AIMABLE
HS,47131900,ABSORBENTS,NA,AIMABLE
HS,42272502,ABSORBER UNITS FOR GAS ANESTHESIA APPARATUS,NA,AIMABLE
HS,4227250200,ABSORBER UNITS FOR GAS ANESTHESIA APPARATUS,NA,AIMABLE
HS,40101713,ABSORPTION CHILLER,NA,AIMABLE
HS,4010171300,ABSORPTION CHILLER,NA,AIMABLE
HS,40101714,ABSORPTION CHILLER HEATER,NA,AIMABLE
HS,4010171400,ABSORPTION CHILLER HEATER,NA,AIMABLE
HS,82111503,ACADEMIC OR SCIENTIFIC ARTICLE WRITING,NA,AIMABLE
HS,8211150300,ACADEMIC OR SCIENTIFIC ARTICLE WRITING,NA,AIMABLE
HS,41116400,ACCELERATION AND VIBRATION MEASURING INSTRUMENTS,NA,AIMABLE
HS,41113639,ACCELEROMETERS,NA,AIMABLE
HS,4111363900,ACCELEROMETERS,NA,AIMABLE
HS,30161717,ACCESS FLOORING,NA,AIMABLE
HS,3016171700,ACCESS FLOORING,NA,AIMABLE
HS,81161500,ACCESS MANAGEMENT SERVICES,NA,AIMABLE
HS,60131506,ACCESSORIES FOR STRINGED INSTRUMENTS,NA,AIMABLE
HS,6013150600,ACCESSORIES FOR STRINGED INSTRUMENTS,NA,AIMABLE
HS,44102609,ACCESSORY OR SUPPLY KITS FOR TYPEWRITERS,NA,AIMABLE
HS,4410260900,ACCESSORY OR SUPPLY KITS FOR TYPEWRITERS,NA,AIMABLE
HS,95122100,ACCOMMODATION BUILDINGS AND STRUCTURES,NA,AIMABLE
HS,56100000,ACCOMMODATION FURNITURE,NA,AIMABLE
HS,60131002,ACCORDIONS,NA,AIMABLE
